iter	RMSE
174	16.65629514
175	16.62396237
176	16.60584308
177	16.54985951
178	16.53288058
179	16.49384033
180	16.45190126
181	16.43129693
182	16.37896377
183	16.3626564
184	16.33580481
185	16.31210132
186	16.28309318
187	16.26221871
188	16.24796033
189	16.22537799
190	16.19405342
191	16.1719831
192	16.13197228
193	16.1165784
194	16.07817098
195	16.0385524
196	16.01253754
197	15.97564409
198	15.96174479
199	15.92904187
200	15.9125379
201	15.89353758
202	15.83657706
203	15.81583329
204	15.78975954
205	15.73490439
206	15.68106303
207	15.66389757
208	15.64322084
209	15.60954352
210	15.5947149
211	15.56298032
212	15.52710239
213	15.5000812
214	15.47454039
215	15.46748061
216	15.4403463
217	15.42190524
218	15.4017919
219	15.38989007
220	15.3676027
221	15.32095139
222	15.27169925
223	15.24349615
224	15.20323653
225	15.18557271
226	15.15533781
227	15.13950033
228	15.11627099
229	15.08411477
230	15.06156512
231	15.0560428
232	15.02080766
233	14.98777416
234	14.93712772
235	14.932078
236	14.89354844
237	14.86235015
238	14.85129876
239	14.82646175
240	14.79349697
241	14.76168618
242	14.72600202
243	14.69506449
244	14.64925331
245	14.6417374
246	14.60070982
247	14.56669631
248	14.54291521
249	14.52054752
250	14.49561669
251	14.47071757
252	14.43765669
253	14.39567517
254	14.35828467
255	14.33486361
256	14.29230028
257	14.26835626
258	14.23970544
259	14.20911973
260	14.18432492
261	14.16708151
262	14.1486688
263	14.13325195
264	14.11957037
265	14.09122204
266	14.05316579
267	14.02905654
268	13.99107704
269	13.97594926
270	13.94563563
271	13.92292661
272	13.89312889
273	13.86131281
274	13.82811788
275	13.8147146
276	13.80303719
277	13.76582253
278	13.74943189
279	13.74091202
280	13.71259377
281	13.68639078
282	13.66845144
283	13.64630092
284	13.62685852
285	13.60577352
286	13.57334846
287	13.55413162
288	13.52877492
289	13.49719452
290	13.48234509
291	13.46384875
292	13.44933061
293	13.4251332
294	13.39963233
295	13.38376131
296	13.37061318
297	13.36258223
298	13.34063462
299	13.31657843
300	13.30928312
301	13.27972464
302	13.26812358
303	13.23628109
304	13.20229994
305	13.17663984
306	13.14306694
307	13.13280353
308	13.11408655
309	13.0927583
310	13.08613156
311	13.05912144
312	13.05118773
313	13.037345
314	13.02996942
315	12.98931673
316	12.96093706
317	12.95132369
318	12.94594393
319	12.92146233
320	12.90308841
321	12.89403455
322	12.8698708
323	12.8670363
324	12.86094829
325	12.84799851
326	12.8426657
327	12.82813276
328	12.80472716
329	12.78860744
330	12.78279566
331	12.75783724
332	12.74189338
333	12.72708775
334	12.7125794
335	12.68301954
336	12.6653675
337	12.66218348
338	12.64820535
339	12.6418197
340	12.61805288
341	12.60849243
342	12.5999881
343	12.59416543
344	12.57927984
345	12.57397183
346	12.53593795
347	12.5245713
348	12.49611669
349	12.47290781
350	12.45344872
351	12.43303163
352	12.40990169
353	12.3822484
354	12.374585
355	12.34146025
356	12.3383969
357	12.33317719
358	12.32854969
359	12.30986368
360	12.29400907
361	12.275146
362	12.26608121
363	12.26286517
364	12.24299249
365	12.21379271
366	12.18436664
367	12.17910326
368	12.16388799
369	12.1494785
370	12.1228282
371	12.09847321
372	12.09359045
373	12.06738691
374	12.04969815
375	12.02349223
376	12.00537299
377	11.99677105
378	11.99107805
379	11.97017225
380	11.95396931
381	11.94060766
382	11.91560994
383	11.90428497
384	11.88412162
385	11.8668755
386	11.85233843
387	11.83777867
388	11.82021051
389	11.79104651
390	11.78852214
391	11.78168391
392	11.76071461
393	11.75442036
394	11.75028118
395	11.74647622
396	11.72914557
397	11.71694562
398	11.6911084
399	11.67500389
400	11.64593547
401	11.642156
402	11.62706026
403	11.60201965
404	11.57628929
405	11.56163466
406	11.55556751
407	11.53122685
408	11.50321471
409	11.48873901
410	11.47038283
411	11.44563911
412	11.44089689
413	11.4291535
414	11.41538655
415	11.39300788
416	11.37625913
417	11.35675338
418	11.33960421
419	11.32274373
420	11.3046605
421	11.28563927
422	11.27815803
423	11.26004685
424	11.25362514
425	11.2317388
426	11.21095154
427	11.20356027
428	11.20039589
429	11.18300037
430	11.16205957
431	11.13907825
432	11.12384014
433	11.10671716
434	11.08257117
435	11.07561769
436	11.0720864
437	11.05136541
438	11.03788219
439	11.02094851
440	11.01198204
441	10.98342912
442	10.97097579
443	10.9673317
444	10.95375641
445	10.9510047
446	10.93736036
447	10.93186112
448	10.90839768
449	10.88842784
450	10.87366536
451	10.85888636
452	10.84969198
453	10.83535275
454	10.82283175
455	10.81358124
456	10.80717972
457	10.79983583
458	10.78487404
459	10.7669451
460	10.75254653
461	10.74372451
462	10.72465704
463	10.71653679
464	10.70664761
465	10.6944726
466	10.68254785
467	10.67794502
468	10.6660728
469	10.65809484
470	10.65031829
471	10.63727205
472	10.61737948
473	10.61313622
474	10.60308988
475	10.58738808
476	10.56797448
477	10.55735905
478	10.54476771
479	10.53443037
480	10.53174231
481	10.51464516
482	10.50671348
483	10.48707928
484	10.48389133
485	10.47724974
486	10.47117457
487	10.46383719
488	10.45031208
489	10.43086348
490	10.42722791
491	10.40521408
492	10.39480738
493	10.38771579
494	10.3688855
495	10.35068802
496	10.33570429
497	10.3278049
498	10.30999815
499	10.28896793
